,Class,Name,PA,R,HR,RBI,SB,OBP,IP,QS,SV,SO,ERA,WHIP,Total_SGPs,Dollar_Value,True_Dollar_Value,Keeper,Salary
122,Hitter,Nick Senzel,597,74,18,63,17,0.323,x,x,x,x,x,x,9.071442317,12.50970834,13.71536934,,
123,Hitter,Amed Rosario,625,69,15,68,20,0.318,x,x,x,x,x,x,8.984720835,12.39011761,13.52893019,TRUE,1
124,Pitcher,Carlos Carrasco,x,x,x,x,x,x,173,18,0,189,3.81,1.17,8.839075781,12.21379269,13.25404379,,
125,Hitter,Lourdes Gurriel Jr.,591,74,27,84,8,0.307,x,x,x,x,x,x,8.798505843,12.13332324,13.12859381,,
126,Hitter,David Peralta,605,77,22,77,3,0.342,x,x,x,x,x,x,8.793896634,12.12696705,13.11868464,,
127,Hitter,Brandon Lowe,611,75,25,78,7,0.321,x,x,x,x,x,x,8.790661371,12.12250555,13.11172928,,
128,Hitter,Jackie Bradley Jr.,576,73,20,72,11,0.325,x,x,x,x,x,x,8.777643901,12.10455419,13.08374352,,
129,Pitcher,Luis Castillo,x,x,x,x,x,x,190,18,0,215,3.85,1.25,8.745442798,12.08441108,13.05234089,,
130,Pitcher,Noah Syndergaard,x,x,x,x,x,x,195,18,0,200,3.89,1.21,8.704117973,12.02730864,12.96331952,,
131,Hitter,Brian Anderson,651,75,21,75,5,0.339,x,x,x,x,x,x,8.720038538,12.02511519,12.95989999,,
132,Hitter,Kolten Wong,577,62,12,61,16,0.347,x,x,x,x,x,x,8.672561309,11.9596431,12.85783054,,
133,Hitter,Eduardo Escobar,651,79,25,86,4,0.317,x,x,x,x,x,x,8.639675198,11.91429247,12.78712997,,
134,Hitter,Aristides Aquino,552,68,32,87,7,0.295,x,x,x,x,x,x,8.609720268,11.87298399,12.72273102,TRUE,1
135,Hitter,Eric Hosmer,642,76,24,82,3,0.327,x,x,x,x,x,x,8.533487052,11.7678568,12.55884019,,
136,Pitcher,David Price,x,x,x,x,x,x,164,18,0,175,3.69,1.19,8.508027314,11.7563515,12.5409037,TRUE,12
137,Pitcher,Tyler Glasnow,x,x,x,x,x,x,163,16.5,0,202,3.69,1.23,8.503322695,11.74985068,12.53076908,TRUE,8
138,Hitter,Willie Calhoun,549,71,25,79,2,0.335,x,x,x,x,x,x,8.478927224,11.69261766,12.44154413,TRUE,2
139,Hitter,Danny Santana,579,69,20,70,18,0.295,x,x,x,x,x,x,8.445865422,11.64702474,12.37046585,TRUE,2
140,Hitter,Brandon Belt,566,69,18,64,5,0.358,x,x,x,x,x,x,8.439816643,11.63868335,12.35746181,TRUE,2
