,Class,Name,PA,R,HR,RBI,SB,OBP,IP,QS,SV,SO,ERA,WHIP,Total_SGPs,Dollar_Value,True_Dollar_Value,Keeper,Salary,Inflated_Value
37,Hitter,Starling Marte,649,85,22,81,26,0.337,x,x,x,x,x,x,12.37678575,17.06784594,20.82139892,,,25.885666184246176
38,Hitter,Anthony Rendon,655,93,28,99,4,0.374,x,x,x,x,x,x,12.29049138,16.948844199999996,20.63587799,,,25.655022081867543
39,Hitter,Carlos Correa,637,93,33,105,3,0.359,x,x,x,x,x,x,12.1933621,16.81490089,20.42706353,,,25.39541890021909
40,Hitter,Paul Goldschmidt,663,91,31,91,5,0.369,x,x,x,x,x,x,12.12804322,16.7248248,20.286637,,,25.22083724540528
41,Hitter,Charlie Blackmon,660,101,30,84,8,0.356,x,x,x,x,x,x,12.10647259,16.69507844,20.24026314,,,25.163184142256583
42,Hitter,Carlos Santana,654,92,29,93,3,0.375,x,x,x,x,x,x,12.00792258,16.55917593,20.0283943,,,24.89978368159803
43,Hitter,Xander Bogaerts,649,92,25,96,6,0.368,x,x,x,x,x,x,11.89979787,16.410069699999998,19.79594119,True,25.0,24.610792359157635
44,Hitter,Shohei Ohtani,555,80,29,89,13,0.353,x,x,x,x,x,x,11.78725499,16.25487071,19.55398961,True,14.0,24.30999230932933
45,Hitter,Bo Bichette,663,92,22,74,24,0.328,x,x,x,x,x,x,11.76833162,16.228775,19.513307,,,24.259414705681756
46,Hitter,Kyle Schwarber,585,86,37,90,5,0.354,x,x,x,x,x,x,11.72480379,16.16874921,19.41972821,,,24.14307529308163
47,Hitter,Matt Olson,642,91,38,103,1,0.344,x,x,x,x,x,x,11.60733334,16.006755,19.16718303,,,23.829105023790984
48,Hitter,Marcus Semien,678,98,25,79,12,0.347,x,x,x,x,x,x,11.55720189,15.93762268,19.05940738,,,23.695115731841423
49,Hitter,Austin Meadows,624,87,28,84,15,0.337,x,x,x,x,x,x,11.54648832,15.92284846,19.0363747,,,23.66648094759377
50,Hitter,Yoan Moncada,662,92,28,86,12,0.34,x,x,x,x,x,x,11.53291801,15.90413471,19.00720042,,,23.630210777844496
51,Hitter,Matt Chapman,656,95,34,97,3,0.343,x,x,x,x,x,x,11.44930895,15.78883607,18.82745255,,,23.406743883135515
52,Hitter,Jonathan Villar,657,78,17,64,32,0.327,x,x,x,x,x,x,11.44110999,15.77752953,18.8098259,,,23.38483000599404
53,Hitter,Gleyber Torres,618,86,34,98,6,0.34,x,x,x,x,x,x,11.39577898,15.71501713,18.71237054,,,23.263671147911626
54,Hitter,Jorge Soler,637,87,35,96,3,0.349,x,x,x,x,x,x,11.3828049,15.69712559,18.68447806,,,23.22899454289076
55,Pitcher,Walker Buehler,x,x,x,x,x,x,194,21,0,225,3.45,1.13,11.33863359,15.66766973,18.63855706,,,19.88144456436416
56,Hitter,Ozzie Albies,652,89,24,82,14,0.344,x,x,x,x,x,x,11.339148,15.63692182,18.59062179,,,23.112310160450694
57,Hitter,Eugenio Suarez,651,87,36,96,3,0.345,x,x,x,x,x,x,11.32140665,15.61245613,18.55248035,,,23.064891800742014
58,Hitter,Luis Robert,578,77,26,83,23,0.317,x,x,x,x,x,x,11.31803844,15.607811300000002,18.54523917,,,23.055889390818443
59,Hitter,Marcell Ozuna,634,82,31,100,7,0.343,x,x,x,x,x,x,11.290774699999998,15.57021403,18.4866259,True,12.0,22.98301995745248
60,Hitter,Javier Baez,637,84,32,100,14,0.313,x,x,x,x,x,x,11.28766377,15.56592399,18.47993784,True,10.0,22.974705199676343
61,Hitter,Josh Bell,641,83,29,95,2,0.369,x,x,x,x,x,x,11.28496236,15.56219869,18.47413018,,,22.96748497645074
62,Hitter,Andrew Benintendi,665,94,19,80,13,0.353,x,x,x,x,x,x,11.26483581,15.53444376,18.4308609,,,22.91369156216498
63,Hitter,Joey Votto,670,91,23,76,4,0.382,x,x,x,x,x,x,11.25707454,15.52374081,18.41417525,True,5.0,22.89294755895815
64,Hitter,Max Kepler,640,93,31,89,6,0.343,x,x,x,x,x,x,11.21722456,15.46878685,18.32850332,,,22.786438145740487
65,Hitter,Michael Conforto,603,82,31,85,5,0.358,x,x,x,x,x,x,10.99466719,15.16187559,17.85003587,,,22.191595852083136
66,Hitter,Ketel Marte,647,87,23,83,8,0.36,x,x,x,x,x,x,10.98100235,15.143031500000001,17.82065836,,,22.155073021887805
