,Class,Name,PA,R,HR,RBI,SB,OBP,IP,QS,SV,SO,ERA,WHIP,Total_SGPs,Dollar_Value,True_Dollar_Value,Keeper,Salary,Inflated_Value
187,Hitter,Dexter Fowler,555,64,17,58,8,0.336,x,x,x,x,x,x,7.563129437000001,10.42971339,10.47270601,,,13.019921133167006
188,Hitter,Todd Frazier,488,61,22,66,4,0.331,x,x,x,x,x,x,7.4606927370000005,10.28845104,10.25248132,True,2.0,12.746132477910354
189,Hitter,Michael Chavis,534,67,24,74,3,0.313,x,x,x,x,x,x,7.44028931,10.26031429,10.20861679,True,1.0,12.6915990344433
190,Hitter,Miguel Andujar,531,67,23,77,3,0.312,x,x,x,x,x,x,7.434163777,10.25186705,10.19544774,,,12.675226953317848
191,Hitter,Luis Arraez,544,65,6,57,6,0.369,x,x,x,x,x,x,7.421334057999999,10.2341746,10.16786563,,,12.640936207779546
192,Pitcher,Robbie Ray,x,x,x,x,x,x,174,16.5,0,214,4.13,1.32,7.385971856,10.20590063,7.231276547999999,,,7.713484652048951
193,Hitter,Jonathan Schoop,557,67,26,79,2,0.306,x,x,x,x,x,x,7.38869147,10.18915979,7.212634709,,,8.966921728143017
194,Pitcher,Dinelson Lamet,x,x,x,x,x,x,144,13.5,0,182,3.75,1.22,7.371795999,10.1863125,7.209464092999999,,,7.690217662361972
195,Hitter,Mike Yastrzemski,619,71,19,64,7,0.316,x,x,x,x,x,x,7.3593855260000005,10.14874628,7.1676320570000005,,,8.91097334390843
196,Hitter,Ian Happ,457,57,20,59,7,0.332,x,x,x,x,x,x,7.313798558999999,10.085880900000001,7.097628021,,,8.823942635049317
197,Hitter,J.P. Crawford,638,71,14,61,8,0.325,x,x,x,x,x,x,7.27361324,10.03046451,7.0359188370000005,,,8.74722428660099
198,Pitcher,Sonny Gray,x,x,x,x,x,x,175,16.5,0,191,3.94,1.31,7.256401381,10.02686077,7.0319058729999995,True,6.0,7.500819207507701
199,Pitcher,Matthew Boyd,x,x,x,x,x,x,183,15,0,201,4.34,1.22,7.2559503020000005,10.02623747,7.031211795,,,7.500078845835072
200,Hitter,Robinson Cano,565,67,20,74,1,0.327,x,x,x,x,x,x,7.246454051000001,9.993011421,6.994212775,True,7.0,8.695374302700316
201,Hitter,Jurickson Profar,529,59,18,63,7,0.327,x,x,x,x,x,x,7.184374588,9.907402545,6.898882612,,,8.57685754087326
202,Hitter,Ji-Man Choi,471,59,18,60,3,0.347,x,x,x,x,x,x,7.130202966000001,9.832698747,6.815695849,True,2.0,8.473437747311857
203,Hitter,Alex Verdugo,496,60,15,62,5,0.342,x,x,x,x,x,x,7.123982857000001,9.824121087,6.806144155,True,1.0,8.461562850561256
204,Pitcher,Corey Kluber,x,x,x,x,x,x,187,16.5,0,188,4.23,1.26,7.105369181,9.818165194,6.799511943,,,7.2529283959220034
205,Hitter,Corey Dickerson,563,65,20,69,4,0.317,x,x,x,x,x,x,7.0509178939999995,9.723362977,6.693944491,,,8.322073517522313
206,Pitcher,Edwin Diaz,x,x,x,x,x,x,65,0,31,98,2.9,1.05,7.032465847999999,9.717427717,6.687335255,,,7.133271353978974
207,Hitter,Salvador Perez,550,66,27,82,2,0.291,x,x,x,x,x,x,7.045676976,9.716135642000001,6.685896458999999,,,8.312068009698724
208,Hitter,J.D. Davis,486,59,21,65,3,0.329,x,x,x,x,x,x,7.04450091,9.714513822999999,6.684090474,,,8.30982276551396
209,Hitter,Tommy Edman,495,57,11,51,15,0.322,x,x,x,x,x,x,7.027441209,9.690988139,6.657893339,,,8.277253854356783
210,Pitcher,Jose Berrios,x,x,x,x,x,x,198,19.5,0,190,4.49,1.29,6.990055735,9.658825624,6.622078621,,,7.063663167725526
211,Pitcher,Frankie Montas,x,x,x,x,x,x,186,18,0,176,4.17,1.29,6.983783283999999,9.650158382,6.6124271729999995,,,7.053368125691953
212,Pitcher,Aroldis Chapman,x,x,x,x,x,x,65,0,34,94,3.01,1.12,6.980841433999999,9.646093347999999,6.607900534,,,7.048539633762472
213,Hitter,Jason Heyward,507,59,14,58,6,0.342,x,x,x,x,x,x,6.98713465,9.635404552,6.5959979760000005,,,8.200304043677553
214,Hitter,Adam Frazier,568,66,10,54,7,0.341,x,x,x,x,x,x,6.908460388,9.526911103,6.4751845889999995,,,8.050105922096673
215,Pitcher,Josh Hader,x,x,x,x,x,x,65,0,28,106,2.95,1.04,6.876904644,9.502473987,6.447972525,,,6.877947037190372
216,Hitter,Evan Longoria,572,64,21,74,3,0.31,x,x,x,x,x,x,6.882278578999999,9.490805842,6.434979407999999,,,8.000121869716622
217,Hitter,Nick Madrigal,440,50,5,44,18,0.337,x,x,x,x,x,x,6.81903156,9.403586882,6.337856326,,,7.879376107671679
218,Hitter,Shed Long,550,62,16,58,10,0.311,x,x,x,x,x,x,6.815858276,9.399210857,6.332983383999999,,,7.873317948446554
219,Hitter,Teoscar Hernandez,475,58,22,62,7,0.302,x,x,x,x,x,x,6.746599977000001,9.303702217,6.226629291,,,7.741095970504341
220,Pitcher,Chris Archer,x,x,x,x,x,x,180,15,0,196,4.19,1.3,6.732715821,9.303234561,6.226108531,,,6.641288336447611
221,Pitcher,Mike Soroka,x,x,x,x,x,x,189,18,0,165,4.12,1.3,6.730858911,9.300668692,6.223251296,,,6.638240570513961
222,Hitter,Albert Pujols,513,62,22,73,2,0.308,x,x,x,x,x,x,6.733884965,9.28616795,6.207103927,,,7.7168215662449615
223,Hitter,Isan Diaz,572,61,19,61,7,0.312,x,x,x,x,x,x,6.72777598,9.277743532999999,6.1977228779999995,,,7.705158819481159
224,Hitter,JaCoby Jones,552,62,16,58,12,0.299,x,x,x,x,x,x,6.685175151,9.218996099,6.132304399,,,7.623828985871923
225,Hitter,A.J. Pollock,449,57,18,59,7,0.316,x,x,x,x,x,x,6.6844611039999995,9.218011413,6.131207897,,,7.622465788093936
226,Hitter,Nick Ahmed,600,61,18,70,7,0.304,x,x,x,x,x,x,6.637416997000001,9.153136607999999,6.058966255,True,3.0,7.532653233394857
227,Pitcher,Kirby Yates,x,x,x,x,x,x,65,0,32,89,3.21,1.09,6.614742165,9.140219127,6.044581933,,,6.447656877559633
228,Pitcher,Liam Hendriks,x,x,x,x,x,x,70,0,30,92,3.18,1.08,6.592386101000001,9.109327625,6.010182557,True,1.0,6.410963624707971
229,Pitcher,Madison Bumgarner,x,x,x,x,x,x,199,16.5,0,192,4.51,1.27,6.578463877999999,9.090089962,5.9887603679999994,,,6.388112925392578
230,Hitter,Eric Thames,439,55,19,57,4,0.33,x,x,x,x,x,x,6.5859988970000005,9.082229974,5.980007841,True,4.0,7.434490225467554
231,Pitcher,James Paxton,x,x,x,x,x,x,126,13.5,0,147,3.86,1.19,6.567312487000001,9.074681024,5.971601672,True,2.0,6.369810024464004
232,Pitcher,Hyun-Jin Ryu,x,x,x,x,x,x,186,16.5,0,165,4.26,1.26,6.543157977000001,9.041304437,5.9344350189999995,,,6.330164962408837
233,Hitter,Mauricio Dubon,556,55,14,58,13,0.305,x,x,x,x,x,x,6.543440417999999,9.023540944,5.9146543970000005,,,7.353241244941571
234,Hitter,Domingo Santana,416,52,17,54,5,0.338,x,x,x,x,x,x,6.52797773,9.002217575,5.89090966,,,7.3237212142281525
235,Hitter,Jake Lamb,463,54,18,58,3,0.336,x,x,x,x,x,x,6.512925794,8.98146064,5.867795678999999,,,7.294985354613057
236,Hitter,Travis Shaw,434,54,20,58,3,0.329,x,x,x,x,x,x,6.501643484,8.965902099,5.850470392,,,7.273446139234139
237,Hitter,Victor Reyes,522,58,10,51,15,0.308,x,x,x,x,x,x,6.500914811,8.964897244,5.849351432000001,,,7.272055021127964
238,Pitcher,Jon Gray,x,x,x,x,x,x,186,16.5,0,190,4.32,1.32,6.487261851,8.964067437999999,5.848427397000001,,,6.238422035990167
239,Pitcher,Dylan Bundy,x,x,x,x,x,x,178,16.5,0,177,4.47,1.26,6.483253186000001,8.958528284,5.842259246,,,6.231842570005951
240,Pitcher,Miles Mikolas,x,x,x,x,x,x,192,16.5,0,153,4.2,1.25,6.456311857999999,8.921300885,5.800804502999999,,,6.187623472345583
241,Pitcher,Garrett Richards,x,x,x,x,x,x,165,15,0,171,3.9,1.33,6.4345939329999995,8.89129116,5.767387032,,,6.151977601529029
242,Hitter,Gavin Lux,451,52,14,55,8,0.328,x,x,x,x,x,x,6.4415707620000004,8.883060561,5.758221811,,,7.158760474600785
243,Pitcher,Lance McCullers Jr.,x,x,x,x,x,x,138,15,0,149,3.77,1.29,6.427427655,8.881388832,5.756360249,,,6.1402155121016095
244,Pitcher,Jesus Luzardo,x,x,x,x,x,x,149,15,0,151,3.98,1.26,6.397916678,8.840610704,5.710951574,,,6.091778819719924
245,Hitter,Giovanny Urshela,550,64,18,70,2,0.311,x,x,x,x,x,x,6.391282465,8.81371195,5.6809983420000005,,,7.062754392213912
246,Pitcher,Craig Kimbrel,x,x,x,x,x,x,65,0,35,90,3.58,1.2,6.3784187910000005,8.813668617000001,5.6809500879999995,,,6.059776724341111
247,Pitcher,Jose Urquidy,x,x,x,x,x,x,168,16.5,0,164,4.48,1.24,6.370797102,8.803137005,5.669222561000001,,,6.047267162727678
248,Hitter,Nick Solak,424,51,15,55,5,0.339,x,x,x,x,x,x,6.370472713,8.785014868,5.649042571,,,7.023026205652362
249,Hitter,Alex Gordon,498,57,13,56,5,0.334,x,x,x,x,x,x,6.341624467999999,8.745232535,5.604742769,,,6.967951621518694
250,Pitcher,Kenley Jansen,x,x,x,x,x,x,65,0,37,75,3.84,1.13,6.325133004,8.740038571,5.598959006,,,5.972318175575361
251,Hitter,Starlin Castro,502,58,15,66,3,0.324,x,x,x,x,x,x,6.33754751,8.739610326000001,5.598482131,,,6.960168245099507
252,Hitter,Christin Stewart,494,59,19,60,1,0.327,x,x,x,x,x,x,6.32853973,8.727188409,5.584649647000001,,,6.9429713667966295
253,Hitter,Mitch Moreland,442,54,22,64,1,0.317,x,x,x,x,x,x,6.281074565,8.661732955,5.511761422,,,6.852354964490447
254,Pitcher,Jake Odorizzi,x,x,x,x,x,x,172,18,0,179,4.59,1.31,6.260232032999999,8.650358719,5.499095587999999,,,5.86579549774233
255,Hitter,Austin Hays,446,53,19,59,8,0.299,x,x,x,x,x,x,6.267639131,8.643205212,5.491129766,,,6.826705191288551
256,Hitter,Maikel Franco,442,54,19,61,1,0.33,x,x,x,x,x,x,6.26378976,8.637896847999999,5.485218613,,,6.8193563030649536
257,Hitter,David Fletcher,549,65,6,51,8,0.333,x,x,x,x,x,x,6.26031274,8.633101964,5.479879248,,,6.8127182754974065
258,Hitter,Willson Contreras,408,50,16,56,3,0.342,x,x,x,x,x,x,6.244993615,8.611976572,5.4563549689999995,True,1.0,6.783472323495874
259,Hitter,Steven Souza Jr.,376,49,17,51,6,0.33,x,x,x,x,x,x,6.234381777,8.597342626,5.440059269,,,6.763213115550272
260,Hitter,Tyler O'Neill,449,53,22,63,5,0.297,x,x,x,x,x,x,6.194669145,8.542578077,5.37907595,True,7.0,6.687397180006908
261,Pitcher,Marcus Stroman,x,x,x,x,x,x,179,16.5,0,154,3.9,1.35,6.16167268,8.514169876,5.3474418660000005,,,5.704028948045566
262,Hitter,Hanser Alberto,582,63,12,61,6,0.315,x,x,x,x,x,x,6.140873074,8.468392171,5.296465888999999,True,1.0,6.584694356305078
263,Hitter,Buster Posey,518,56,11,56,2,0.347,x,x,x,x,x,x,6.10980255,8.425545271,5.248753523,True,1.0,6.525377190158753
264,Hitter,Evan White,526,58,19,63,3,0.31,x,x,x,x,x,x,6.104305279,8.41796442,5.24031183,,,6.514882273469077
265,Hitter,Nick Markakis,462,53,11,57,1,0.355,x,x,x,x,x,x,6.075074722999999,8.377654873,5.195424946,,,6.4590778148090555
266,Pitcher,Joe Musgrove,x,x,x,x,x,x,179,15,0,163,4.27,1.28,6.033143021,8.336568208,5.149672698,,,5.493071804878581
267,Pitcher,Roberto Osuna,x,x,x,x,x,x,65,0,33,76,3.64,1.13,6.030636466,8.333104662,5.145815851,,,5.488957769141969
268,Hitter,Miguel Rojas,588,58,9,54,8,0.325,x,x,x,x,x,x,6.035378854,8.32291344,5.134467368,,,6.383293881098796
269,Pitcher,Kyle Hendricks,x,x,x,x,x,x,179,16.5,0,151,4.32,1.28,5.981397029,8.265065843,5.0700509060000005,,,5.408140539080083
270,Hitter,Alex Dickerson,461,51,14,57,3,0.336,x,x,x,x,x,x,5.988079619,8.257686807999999,5.061833947,True,2.0,6.292994257281501
271,Hitter,Brian Dozier,402,50,17,49,5,0.326,x,x,x,x,x,x,5.947387641000001,8.201571721,4.999346729,,,6.2153086381669995
272,Hitter,Kevin Pillar,455,50,14,56,10,0.302,x,x,x,x,x,x,5.928850711,8.176008906,4.970881138,True,4.0,6.179919527704517
273,Pitcher,Joey Lucchesi,x,x,x,x,x,x,185,16.5,0,177,4.34,1.35,5.913878562000001,8.171769148,4.966159935,,,5.297321736206807
274,Hitter,Luis Urias,493,52,13,55,4,0.333,x,x,x,x,x,x,5.914728606000001,8.15653423,4.949195021,True,6.0,6.152958823111548
275,Pitcher,Brad Hand,x,x,x,x,x,x,65,0,33,80,3.68,1.19,5.900625922000001,8.153456712999999,4.945768038,True,1.0,5.275570032549563
276,Pitcher,Taylor Rogers,x,x,x,x,x,x,65,0,31,77,3.44,1.16,5.862105398,8.100229237,4.886496333,,,5.212345872363805
277,Pitcher,Zac Gallen,x,x,x,x,x,x,145,13.5,0,159,4.21,1.28,5.827763285,8.052775469,4.833653968999999,,,5.155979785271655
278,Pitcher,Johnny Cueto,x,x,x,x,x,x,182,15,0,156,4.2,1.3,5.817886378,8.039127606000001,4.818456327,,,5.139768708633084
279,Pitcher,Kevin Gausman,x,x,x,x,x,x,155,13.5,0,146,4.05,1.27,5.816596812999999,8.037345692,4.816472068,,,5.137652131948374
280,Pitcher,Ken Giles,x,x,x,x,x,x,65,0,30,82,3.57,1.16,5.778651892999999,7.984913582999999,4.758086048,,,5.075372717494395
281,Pitcher,Jose Quintana,x,x,x,x,x,x,177,16.5,0,158,4.31,1.33,5.752474707999999,7.948742072999999,4.717807093999999,,,5.0324078147670175
282,Pitcher,Masahiro Tanaka,x,x,x,x,x,x,183,16.5,0,160,4.54,1.29,5.716305475,7.8987636,4.662153332,,,4.973042855320886
283,Pitcher,Cole Hamels,x,x,x,x,x,x,164,15,0,160,4.25,1.33,5.6592444639999995,7.819916967999999,4.574353297,,,4.879387991214054
284,Pitcher,Mike Minor,x,x,x,x,x,x,201,16.5,0,186,4.64,1.33,5.651938605,7.809821767000001,4.563111739,,,4.867396804800073
285,Pitcher,Hector Neris,x,x,x,x,x,x,65,0,31,82,3.86,1.2,5.574506338,7.70282623,4.443966359,,,4.740306372855976
286,Pitcher,Josh Lindblom,x,x,x,x,x,x,178,15,0,174,4.62,1.3,5.545102561,7.662196231,4.398722633,,,4.69204562888
287,Pitcher,Julio Urias,x,x,x,x,x,x,127,13.5,0,134,3.99,1.3,5.460124461,7.544773899,4.267966447,,,4.552570139707841
288,Pitcher,Caleb Smith,x,x,x,x,x,x,179,13.5,0,189,4.6,1.32,5.443111113,7.521264936000001,4.241787932,,,4.524645945089426
289,Pitcher,Steven Matz,x,x,x,x,x,x,159,15,0,153,4.36,1.32,5.438994988999999,7.515577296,4.235454433,,,4.517890105092714
290,Pitcher,Jose Leclerc,x,x,x,x,x,x,68,0,29,93,3.75,1.28,5.414554705,7.481805828,4.197848057,,,4.477775997691385
291,Pitcher,Raisel Iglesias,x,x,x,x,x,x,65,0,31,78,3.9,1.22,5.395076886,7.454891471,4.167877449,,,4.445806839371127
292,Pitcher,Nathan Eovaldi,x,x,x,x,x,x,143,15,0,136,4.27,1.31,5.33518727,7.372136285,4.075725025,,,4.347509352965397
293,Pitcher,Shohei Ohtani,x,x,x,x,x,x,101,10.5,0,123,3.74,1.22,5.294053324,7.315297594,4.012432036,,,4.279995754779358
294,Pitcher,Nick Anderson,x,x,x,x,x,x,65,0,20,89,3.25,1.08,5.284995692,7.302781802999999,3.9984950180000003,True,3.0,4.265129365183449
295,Pitcher,Brandon Workman,x,x,x,x,x,x,68,0,32,82,3.89,1.32,5.274629684,7.288458102000001,3.982544795,,,4.2481155226771365
296,Pitcher,Griffin Canning,x,x,x,x,x,x,135,13.5,0,139,4.36,1.28,5.215700286000001,7.207029741,3.891869863,True,2.0,4.1513940528695645
297,Pitcher,Keone Kela,x,x,x,x,x,x,65,0,27,81,3.63,1.22,5.190202613,7.171797177999999,3.852636478,,,4.109544441526858
298,Pitcher,Archie Bradley,x,x,x,x,x,x,65,0,33,72,3.94,1.31,5.168014459,7.141137694,3.818495465,True,1.0,4.073126780269837
299,Pitcher,Pablo Lopez,x,x,x,x,x,x,157,13.5,0,135,4.18,1.3,5.159984081,7.130041355,3.8061390860000004,True,5.0,4.0599464324932395
300,Pitcher,Anthony DeSclafani,x,x,x,x,x,x,153,13.5,0,151,4.51,1.29,5.129409494,7.0877935370000005,3.75909383,,,4.009764025874026
301,Pitcher,Mitch Keller,x,x,x,x,x,x,140,12,0,149,4.16,1.32,5.120848965,7.0759646389999995,3.7459217060000003,,,3.9957135362219627
302,Pitcher,Luke Weaver,x,x,x,x,x,x,134,12,0,138,4.25,1.28,5.0384748319999995,6.962140455,3.619172254,,,3.8605119648025954
303,Pitcher,Kenta Maeda,x,x,x,x,x,x,154,15,0,156,4.66,1.33,5.029950441,6.950361493,3.606055736,,,3.846520789163032
304,Pitcher,A.J. Puk,x,x,x,x,x,x,126,12,0,137,4.14,1.33,4.8709480339999995,6.730652726000001,3.361398013,,,3.585548389775584
305,Pitcher,Mike Foltynewicz,x,x,x,x,x,x,181,15,0,170,4.73,1.35,4.837660337,6.684655946,3.3101780830000003,,,3.5309129265469936
306,Pitcher,Dallas Keuchel,x,x,x,x,x,x,197,18,0,150,4.39,1.42,4.818144521000001,6.657689083999999,3.280149008,,,3.498881402432238
307,Pitcher,Carlos Martinez,x,x,x,x,x,x,128,10.5,7,121,4.15,1.36,4.792502851,6.622257547,3.2406940539999995,,,3.456795447054073
308,Pitcher,Joe Jimenez,x,x,x,x,x,x,65,0,29,76,4.2,1.27,4.773580314,6.596110476000001,3.2115778610000003,,,3.4257376792670415
309,Pitcher,Ian Kennedy,x,x,x,x,x,x,65,0,31,66,4.35,1.25,4.741303304,6.5515102579999995,3.16191308,,,3.372761068090855
310,Pitcher,Rick Porcello,x,x,x,x,x,x,165,13.5,0,148,4.62,1.31,4.676553819,6.462039728,3.062282754,,,3.266487025689284
311,Pitcher,Tony Watson,x,x,x,x,x,x,68,0,28,63,3.88,1.26,4.614196864,6.375875186,2.966333826,,,3.164139870440016
312,Pitcher,Jakob Junis,x,x,x,x,x,x,182,15,0,160,4.78,1.34,4.605426986,6.36375701,2.952839574,,,3.149745772108696
313,Pitcher,Kyle Gibson,x,x,x,x,x,x,174,15,0,157,4.45,1.41,4.580834655,6.329775445,2.914999243,,,3.1093821087278948
314,Pitcher,Sean Manaea,x,x,x,x,x,x,162,15,0,133,4.58,1.33,4.570720252,6.3157994120000005,2.899436166,,,3.0927812285401006
315,Pitcher,Yonny Chirinos,x,x,x,x,x,x,135,12,0,118,4.27,1.28,4.564061816000001,6.306598816,2.8891907999999997,,,3.081852663870909
316,Pitcher,Giovanny Gallegos,x,x,x,x,x,x,65,0,21,77,3.71,1.17,4.5426542439999995,6.277017935,2.856250872,,,3.0467161803771514
317,Pitcher,Alex Colome,x,x,x,x,x,x,65,0,31,65,4.24,1.33,4.5317554410000005,6.261958022000001,2.839480835,,,3.028827855659496
318,Pitcher,Danny Duffy,x,x,x,x,x,x,184,15,0,159,4.73,1.36,4.479579258999999,6.189861222,2.759197107,,,2.943190513535089
319,Pitcher,Alex Wood,x,x,x,x,x,x,119,12,0,103,4.06,1.29,4.460416002,6.163381525,2.729710517,True,5.0,2.9117376493144334
320,Pitcher,Adrian Houser,x,x,x,x,x,x,155,13.5,0,145,4.45,1.38,4.419406949,6.106715412000001,2.6666097019999997,,,2.844429039997189
321,Pitcher,Marco Gonzales,x,x,x,x,x,x,193,15,0,147,4.62,1.35,4.405211493,6.087100198,2.644767088,True,5.0,2.821129880197219
322,Pitcher,Jon Lester,x,x,x,x,x,x,176,15,0,158,4.73,1.38,4.373989384,6.043957637999999,2.596725489,,,2.7698846907639814
323,Pitcher,Mark Melancon,x,x,x,x,x,x,65,0,26,61,3.72,1.29,4.3491895519999995,6.009689347999999,2.558565875,True,4.0,2.729180453418983
324,Pitcher,Brendan McKay,x,x,x,x,x,x,92,9,0,101,3.91,1.22,4.3145795,5.961865344,2.505311232,True,2.0,2.6723745950474815
325,Pitcher,Chris Bassitt,x,x,x,x,x,x,124,12,0,114,4.41,1.3,4.225282273,5.838474861,2.367909184,,,2.5258100733654527
326,Pitcher,Vince Velasquez,x,x,x,x,x,x,119,10.5,0,130,4.54,1.29,4.219460142,5.830429869,2.358950645,,,2.5162541460512924
327,Pitcher,Michael Pineda,x,x,x,x,x,x,129,12,0,117,4.63,1.29,4.058568929,5.608111159,2.111386607,,,2.2521816278953644
328,Pitcher,Brad Peacock,x,x,x,x,x,x,119,12,0,126,4.63,1.34,4.041382167,5.584362574,2.0849412590000003,,,2.2239728068715703
329,Pitcher,Jeff Samardzija,x,x,x,x,x,x,191,13.5,0,153,4.75,1.35,4.031670602,5.5709431789999995,2.06999803,,,2.2080331084271188
330,Pitcher,Sean Newcomb,x,x,x,x,x,x,131,12,0,132,4.37,1.4,4.018199295,5.552328592,2.049269669,,,2.185922504113438
331,Pitcher,Brandon Kintzler,x,x,x,x,x,x,65,0,27,54,4,1.33,3.9953631080000003,5.520773657,2.014131524,,,2.1484412184289714
332,Pitcher,Hansel Robles,x,x,x,x,x,x,65,0,23,71,4.21,1.27,3.987505287,5.509915757999999,2.002040659,,,2.135544090101983
333,Pitcher,Drew Smyly,x,x,x,x,x,x,121,10.5,0,123,4.46,1.32,3.970281977,5.4861166710000004,1.975539074,,,2.1072752819882887
334,Pitcher,Dustin May,x,x,x,x,x,x,102,10.5,0,89,4.07,1.27,3.9684512069999998,5.483586921000001,1.97272206,,,2.10427041913878
335,Pitcher,Reynaldo Lopez,x,x,x,x,x,x,159,13.5,0,148,4.97,1.35,3.905283738,5.396302414,1.87552599,,,2.0005929578761723
336,Pitcher,Yusei Kikuchi,x,x,x,x,x,x,173,13.5,0,141,4.74,1.37,3.793135641,5.24133671,1.702963206,,,1.816523053058747
337,Pitcher,Sean Doolittle,x,x,x,x,x,x,60,0,19,66,4.07,1.2,3.734647743,5.160518411,1.6129676119999998,,,1.7205262220064172
338,Pitcher,Wade Miley,x,x,x,x,x,x,147,13.5,0,129,4.47,1.44,3.6905429339999998,5.099574597,1.545103343,,,1.648136514064906
339,Pitcher,Aaron Civale,x,x,x,x,x,x,148,13.5,0,116,4.81,1.33,3.682340087,5.0882399430000005,1.5324815859999998,True,1.0,1.634673091907677
340,Pitcher,Adam Wainwright,x,x,x,x,x,x,145,12,0,123,4.45,1.39,3.6500158710000004,5.043574495,1.482744167,,,1.5816189989626168
341,Pitcher,Eric Lauer,x,x,x,x,x,x,148,13.5,0,135,4.79,1.4,3.647353538,5.0398956969999995,1.478647625,True,1.0,1.5772492844822306
342,Pitcher,Mike Leake,x,x,x,x,x,x,175,13.5,0,119,4.7,1.34,3.588300095,4.958295931,1.387781825,,,1.4803242188947445
343,Pitcher,Nick Pivetta,x,x,x,x,x,x,93,7.5,0,102,4.18,1.27,3.571477057,4.935049938,1.36189614,True,1.0,1.4527123812572396
344,Pitcher,Spencer Turnbull,x,x,x,x,x,x,139,12,0,127,4.65,1.39,3.533000103,4.881882666,1.302691476,True,2.0,1.3895597326118185
345,Pitcher,Martin Perez,x,x,x,x,x,x,162,15,0,126,4.62,1.44,3.5252664639999995,4.871196361,1.290791692,,,1.376866427268368
346,Pitcher,Will Smith,x,x,x,x,x,x,65,0,8,84,3.38,1.16,3.495620548,4.830231776000001,1.245175387,,,1.3282082593549862
347,Pitcher,Jake Arrieta,x,x,x,x,x,x,168,13.5,0,139,4.75,1.41,3.4739806260000003,4.800329835,1.21187794,,,1.292690416179987
348,Pitcher,J.A. Happ,x,x,x,x,x,x,114,10.5,0,108,4.66,1.32,3.4634248,4.785743844,1.195635642,,,1.2753650220389408
349,Pitcher,Dylan Cease,x,x,x,x,x,x,108,10.5,0,115,4.52,1.41,3.3467770889999997,4.624560595,1.016149283,,,1.0839098527878688
350,Pitcher,Ryan Yarbrough,x,x,x,x,x,x,121,10.5,0,98,4.53,1.32,3.332019877,4.604169149,0.993442293,,,1.0596886772185743
351,Pitcher,Sandy Alcantara,x,x,x,x,x,x,188,13.5,0,157,4.76,1.45,3.2717943010000003,4.520949737,0.9588292740000001,,,1.0227675348662713
352,Pitcher,Mychal Givens,x,x,x,x,x,x,65,0,14,76,4,1.26,3.2641164430000003,4.51034051,0.94625389,,,1.0093535780311602
353,Pitcher,Tanner Roark,x,x,x,x,x,x,181,13.5,0,153,5.15,1.38,3.21388797,4.440935045,0.863985846,,,0.9215995984210738
354,Pitcher,Matt Shoemaker,x,x,x,x,x,x,145,12,0,128,5.03,1.36,3.1771487510000003,4.390168968,0.8038115379999999,,,0.8574126463490996
355,Pitcher,Anibal Sanchez,x,x,x,x,x,x,163,13.5,0,140,5.06,1.4,3.165007298,4.373391966,0.7839253340000001,,,0.8362003571601406
356,Pitcher,Jose Urena,x,x,x,x,x,x,149,10.5,0,119,4.55,1.38,3.156424723,4.361532605,1.0,,,1.0666836762289666
357,Pitcher,Jordan Yamamoto,x,x,x,x,x,x,135,10.5,0,128,4.72,1.4,3.148294355,4.350298102,1.0,,,1.0666836762289666
358,Pitcher,Brad Keller,x,x,x,x,x,x,182,15,0,137,4.74,1.47,3.072150521,4.245082915,1.0,,,1.0666836762289666
359,Pitcher,Daniel Norris,x,x,x,x,x,x,147,12,0,127,4.93,1.39,3.0596492860000004,4.227808768,1.0,,,1.0666836762289666
360,Pitcher,Matt Barnes,x,x,x,x,x,x,68,0,4,93,3.38,1.23,3.047429839,4.210923995,1.0,,,1.0666836762289666
361,Pitcher,Merrill Kelly,x,x,x,x,x,x,109,9,0,101,4.57,1.34,3.040475928,4.201315114,1.0,,,1.0666836762289666
362,Pitcher,Elieser Hernandez,x,x,x,x,x,x,93,7.5,0,94,4.48,1.29,3.0316405860000004,4.1891064810000005,1.0,True,5.0,1.0666836762289666
363,Pitcher,Dellin Betances,x,x,x,x,x,x,55,0,4,78,3.07,1.15,3.005444135,4.152908349,1.0,,,1.0666836762289666
364,Pitcher,Jose Alvarado,x,x,x,x,x,x,60,0,9,76,3.32,1.3,2.992172053,4.13456905,1.0,True,1.0,1.0666836762289666
365,Pitcher,Logan Webb,x,x,x,x,x,x,99,9,0,87,4.2,1.38,2.976146134,4.112424511,1.0,,,1.0666836762289666
366,Pitcher,Brett Anderson,x,x,x,x,x,x,143,13.5,0,95,4.54,1.43,2.951746364,4.078709026,1.0,True,1.0,1.0666836762289666
367,Pitcher,Chad Kuhl,x,x,x,x,x,x,108,9,0,105,4.61,1.37,2.940513667,4.063187739,1.0,True,1.0,1.0666836762289666
368,Pitcher,Mike Fiers,x,x,x,x,x,x,188,15,0,144,5.21,1.4,2.937932234,4.0596207280000005,1.0,,,1.0666836762289666
369,Pitcher,Diego Castillo,x,x,x,x,x,x,60,0,5,73,3.26,1.17,2.90389491,4.012588116,1.0,,,1.0666836762289666
370,Pitcher,Dakota Hudson,x,x,x,x,x,x,166,13.5,0,126,4.54,1.5,2.8378732330000003,3.921359678,1.0,,,1.0666836762289666
371,Pitcher,Emilio Pagan,x,x,x,x,x,x,65,0,1,83,3.51,1.09,2.8359627410000003,3.918719769,1.0,,,1.0666836762289666
