,Class,Name,PA,R,HR,RBI,SB,OBP,IP,QS,SV,SO,ERA,WHIP,Total_SGPs
52,Hitter,Jonathan Villar,657.0,78.0,17.0,64.0,32.0,0.327,x,x,x,x,x,x,11.441109985769385
53,Hitter,Gleyber Torres,618.0,86.0,34.0,98.0,6.0,0.34,x,x,x,x,x,x,11.395778981844902
54,Hitter,Jorge Soler,637.0,87.0,35.0,96.0,3.0,0.349,x,x,x,x,x,x,11.382804898346366
55,Hitter,Ozzie Albies,652.0,89.0,24.0,82.0,14.0,0.344,x,x,x,x,x,x,11.339148001723757
56,Pitcher,Walker Buehler,x,x,x,x,x,x,194.0,21.0,0.0,225.0,3.45,1.13,11.338633589702395
57,Hitter,Eugenio Suarez,651.0,87.0,36.0,96.0,3.0,0.345,x,x,x,x,x,x,11.321406652035222
58,Hitter,Luis Robert,578.0,77.0,26.0,83.0,23.0,0.317,x,x,x,x,x,x,11.318038441064544
59,Hitter,Marcell Ozuna,634.0,82.0,31.0,100.0,7.0,0.34299999999999997,x,x,x,x,x,x,11.290774698054008
60,Hitter,Javier Baez,637.0,84.0,32.0,100.0,14.0,0.313,x,x,x,x,x,x,11.287663772499204
61,Hitter,Josh Bell,641.0,83.0,29.0,95.0,2.0,0.369,x,x,x,x,x,x,11.284962357715377
62,Hitter,Andrew Benintendi,665.0,94.0,19.0,80.0,13.0,0.353,x,x,x,x,x,x,11.264835811671352
63,Hitter,Joey Votto,670.0,91.0,23.0,76.0,4.0,0.382,x,x,x,x,x,x,11.257074544132006
64,Hitter,Max Kepler,640.0,93.0,31.0,89.0,6.0,0.34299999999999997,x,x,x,x,x,x,11.217224562165425
65,Hitter,Michael Conforto,603.0,82.0,31.0,85.0,5.0,0.358,x,x,x,x,x,x,10.99466719235269
66,Hitter,Ketel Marte,647.0,87.0,23.0,83.0,8.0,0.36,x,x,x,x,x,x,10.981002353986366
67,Hitter,Keston Hiura,613.0,79.0,29.0,92.0,12.0,0.33,x,x,x,x,x,x,10.895396531224947
68,Hitter,Whit Merrifield,688.0,90.0,14.0,65.0,23.0,0.337,x,x,x,x,x,x,10.854066517172273
69,Pitcher,Mike Clevinger,x,x,x,x,x,x,197.0,21.0,0.0,238.0,3.65,1.18,10.851767568739902
70,Pitcher,Stephen Strasburg,x,x,x,x,x,x,200.0,21.0,0.0,228.0,3.59,1.17,10.846592420093922
71,Hitter,Shin-Soo Choo,665.0,92.0,23.0,69.0,10.0,0.35600000000000004,x,x,x,x,x,x,10.819567138247853
72,Pitcher,Shane Bieber,x,x,x,x,x,x,198.0,21.0,0.0,215.0,3.66,1.13,10.777260027978741
73,Hitter,Justin Turner,620.0,87.0,26.0,85.0,3.0,0.364,x,x,x,x,x,x,10.730292525814136
74,Hitter,Lorenzo Cain,656.0,85.0,16.0,65.0,19.0,0.349,x,x,x,x,x,x,10.730068872725818
75,Hitter,Andrew McCutchen,590.0,83.0,27.0,74.0,8.0,0.359,x,x,x,x,x,x,10.717804144390543
76,Hitter,Miguel Sano,581.0,84.0,37.0,97.0,1.0,0.337,x,x,x,x,x,x,10.713904573445578
77,Hitter,Edwin Encarnacion,578.0,81.0,35.0,92.0,2.0,0.34600000000000003,x,x,x,x,x,x,10.683129736732448
78,Hitter,Victor Robles,609.0,71.0,17.0,71.0,27.0,0.326,x,x,x,x,x,x,10.677123377045659
79,Hitter,Jose Abreu,658.0,87.0,32.0,101.0,3.0,0.33299999999999996,x,x,x,x,x,x,10.669214898619396
80,Hitter,Vladimir Guerrero Jr.,622.0,86.0,25.0,87.0,3.0,0.363,x,x,x,x,x,x,10.636944330341608
81,Hitter,Adam Eaton,656.0,90.0,15.0,65.0,12.0,0.366,x,x,x,x,x,x,10.546664439934592
82,Pitcher,Blake Snell,x,x,x,x,x,x,179.0,19.5,0.0,224.0,3.41,1.18,10.524770957737273
83,Hitter,Khris Davis,628.0,85.0,38.0,103.0,1.0,0.321,x,x,x,x,x,x,10.450986820810863
84,Pitcher,Clayton Kershaw,x,x,x,x,x,x,194.0,21.0,0.0,198.0,3.53,1.16,10.32997323228408
85,Pitcher,Charlie Morton,x,x,x,x,x,x,192.0,19.5,0.0,221.0,3.5,1.19,10.318555898357037
86,Hitter,Mike Moustakas,626.0,82.0,36.0,97.0,3.0,0.32299999999999995,x,x,x,x,x,x,10.281451513673838
87,Hitter,Max Muncy,589.0,81.0,29.0,79.0,4.0,0.355,x,x,x,x,x,x,10.279936491717784
88,Hitter,Byron Buxton,542.0,73.0,20.0,73.0,23.0,0.317,x,x,x,x,x,x,10.276599852258736
89,Hitter,Eddie Rosario,634.0,86.0,30.0,102.0,5.0,0.32,x,x,x,x,x,x,10.267217951446272
90,Pitcher,Jack Flaherty,x,x,x,x,x,x,192.0,18.0,0.0,229.0,3.6,1.17,10.199437507271721
91,Hitter,Mallex Smith,588.0,66.0,7.0,48.0,39.0,0.318,x,x,x,x,x,x,10.13701117768745
92,Hitter,Jeff McNeil,660.0,88.0,20.0,73.0,9.0,0.348,x,x,x,x,x,x,10.055587964624127
93,Hitter,Franmil Reyes,572.0,80.0,36.0,93.0,1.0,0.32899999999999996,x,x,x,x,x,x,10.01733971887085
94,Hitter,Jorge Polanco,664.0,91.0,19.0,82.0,7.0,0.344,x,x,x,x,x,x,9.987769034288682
95,Hitter,Michael Brantley,621.0,85.0,21.0,87.0,5.0,0.349,x,x,x,x,x,x,9.983032921042554
96,Hitter,Trey Mancini,657.0,86.0,30.0,90.0,1.0,0.33799999999999997,x,x,x,x,x,x,9.953368933373012
97,Hitter,Ramon Laureano,597.0,76.0,23.0,79.0,14.0,0.327,x,x,x,x,x,x,9.923696977186683
98,Hitter,Justin Upton,624.0,81.0,30.0,91.0,5.0,0.325,x,x,x,x,x,x,9.841070273893411
99,Hitter,DJ LeMahieu,683.0,93.0,19.0,74.0,7.0,0.345,x,x,x,x,x,x,9.824716030776354
100,Hitter,Eloy Jimenez,590.0,80.0,33.0,95.0,1.0,0.32899999999999996,x,x,x,x,x,x,9.815636666421076
101,Hitter,Nicholas Castellanos,661.0,88.0,27.0,90.0,3.0,0.331,x,x,x,x,x,x,9.773113344760755
102,Pitcher,Patrick Corbin,x,x,x,x,x,x,192.0,19.5,0.0,217.0,3.57,1.23,9.756343620213151
103,Hitter,Paul DeJong,642.0,79.0,29.0,89.0,7.0,0.322,x,x,x,x,x,x,9.74380648261103
104,Hitter,Joc Pederson,502.0,77.0,32.0,75.0,3.0,0.34600000000000003,x,x,x,x,x,x,9.709668449684814
105,Hitter,Elvis Andrus,666.0,77.0,14.0,74.0,22.0,0.318,x,x,x,x,x,x,9.707368957629312
106,Hitter,Corey Seager,635.0,85.0,24.0,84.0,2.0,0.348,x,x,x,x,x,x,9.682166646539246
107,Hitter,Yuli Gurriel,620.0,81.0,24.0,93.0,5.0,0.332,x,x,x,x,x,x,9.65044590078998
108,Hitter,Oscar Mercado,617.0,77.0,16.0,67.0,23.0,0.313,x,x,x,x,x,x,9.629502303687511
109,Hitter,Bryan Reynolds,658.0,83.0,19.0,74.0,7.0,0.35100000000000003,x,x,x,x,x,x,9.621767426142712
110,Hitter,Cavan Biggio,592.0,76.0,20.0,66.0,12.0,0.345,x,x,x,x,x,x,9.548031158209904
111,Hitter,Jean Segura,673.0,85.0,16.0,71.0,13.0,0.33399999999999996,x,x,x,x,x,x,9.492947425153801
112,Hitter,Tim Anderson,638.0,78.0,21.0,79.0,17.0,0.308,x,x,x,x,x,x,9.48887888785982
113,Hitter,Yasiel Puig,514.0,64.0,23.0,75.0,13.0,0.335,x,x,x,x,x,x,9.416717977843373
114,Pitcher,Yu Darvish,x,x,x,x,x,x,185.0,18.0,0.0,221.0,3.87,1.19,9.34573454283707
115,Pitcher,Aaron Nola,x,x,x,x,x,x,198.0,19.5,0.0,221.0,3.82,1.24,9.335028816974564
116,Hitter,David Dahl,578.0,75.0,23.0,79.0,9.0,0.331,x,x,x,x,x,x,9.323187834880935
117,Hitter,Mark Canha,594.0,77.0,25.0,80.0,4.0,0.342,x,x,x,x,x,x,9.313288516151431
118,Hitter,Yasmani Grandal,544.0,74.0,25.0,73.0,3.0,0.358,x,x,x,x,x,x,9.30757499816484
119,Hitter,Ryan Braun,532.0,69.0,25.0,80.0,9.0,0.32899999999999996,x,x,x,x,x,x,9.228646413063727
120,Pitcher,Trevor Bauer,x,x,x,x,x,x,200.0,18.0,0.0,238.0,3.93,1.24,9.221517334051311
121,Hitter,Rougned Odor,573.0,71.0,28.0,79.0,13.0,0.302,x,x,x,x,x,x,9.135593838709397
122,Hitter,Nick Senzel,597.0,74.0,18.0,63.0,17.0,0.32299999999999995,x,x,x,x,x,x,9.07144231718977
123,Hitter,Amed Rosario,625.0,69.0,15.0,68.0,20.0,0.318,x,x,x,x,x,x,8.984720835416539
124,Pitcher,Carlos Carrasco,x,x,x,x,x,x,173.0,18.0,0.0,189.0,3.81,1.17,8.839075780750543
125,Hitter,Lourdes Gurriel Jr.,591.0,74.0,27.0,84.0,8.0,0.307,x,x,x,x,x,x,8.798505843455201
126,Hitter,David Peralta,605.0,77.0,22.0,77.0,3.0,0.342,x,x,x,x,x,x,8.793896633671544
127,Hitter,Brandon Lowe,611.0,75.0,25.0,78.0,7.0,0.321,x,x,x,x,x,x,8.790661371324898
128,Hitter,Jackie Bradley Jr.,576.0,73.0,20.0,72.0,11.0,0.325,x,x,x,x,x,x,8.77764390082989
129,Pitcher,Luis Castillo,x,x,x,x,x,x,190.0,18.0,0.0,215.0,3.85,1.25,8.745442798197095
130,Hitter,Brian Anderson,651.0,75.0,21.0,75.0,5.0,0.33899999999999997,x,x,x,x,x,x,8.720038537801983
131,Pitcher,Noah Syndergaard,x,x,x,x,x,x,195.0,18.0,0.0,200.0,3.89,1.21,8.704117972656068
132,Hitter,Kolten Wong,577.0,62.0,12.0,61.0,16.0,0.34700000000000003,x,x,x,x,x,x,8.672561309326806
133,Hitter,Eduardo Escobar,651.0,79.0,25.0,86.0,4.0,0.317,x,x,x,x,x,x,8.639675198339354
